#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-03-09 07:00:00,0.1877956672189,0.26479189077865,758.35964726815,5390.01243585,,3608,13.18,15.83,0,0,992.99
2023-03-09 08:00:00,0.19015325639639,0.26811609151891,733.74022806938,5263.4430263261,,3610,14.23,19.41,0,0,993.32
2023-03-09 09:00:00,0.19239113630088,0.27127150218425,748.82704174538,5131.5221221218,,3608,14.18,22.43,0,0,993.56
2023-03-09 10:00:00,0.19098029134756,0.26928221080006,777.62568243749,5171.2386446201,,3609,14.19,22.31,0,0,994.07
2023-03-09 11:00:00,0.19138273493425,0.26984965625729,781.21685718868,5180.0896379986,,3608,14.22,23.56,0,0,993.85
2023-03-09 12:00:00,0.19075826985619,0.26896916049723,766.6147473095,5074.8702831707,,3609,14.13,24.99,0,0,993.6
2023-03-09 13:00:00,0.19021176368867,0.26819858680103,784.00556708102,5173.7606391111,,3609,14.14,26.54,0,0,993.29
2023-03-09 14:00:00,0.18939266730825,0.26704366090463,785.77002043575,5162.4102073292,,3608,14.01,26.65,0,0,992.69
2023-03-09 15:00:00,0.18972728161384,0.26751546707551,782.30845643461,5222.8323569352,,3609,13.2,25.19,0,0,992.44
2023-03-09 16:00:00,0.19118657973283,0.26957307742329,736.85983781393,5128.5300086069,,3608,12.64,21.28,0,0,992.36
2023-03-09 17:00:00,0.19096307084818,0.26925792989594,761.3768876537,5213.0914642874,,3609,12.69,19.12,0,0,992.05
2023-03-09 18:00:00,0.19039937926133,0.26846312475847,804.11775922735,5018.0971814919,,3608,12.61,15.37,0,0,992.19
2023-03-09 19:00:00,0.19083544630148,0.26907797928509,764.51396772639,5361.4835462201,,3609,12.51,13.04,0,0,992.23
2023-03-09 20:00:00,0.18990129728002,0.26776082916483,787.19126422766,5218.8351223837,,3609,12.48,10.5,0,0,992.25
2023-03-09 21:00:00,0.18836091494277,0.2655888900693,752.96802884129,5262.9363098485,,3609,12.57,11.7,0,0,992.64
2023-03-09 22:00:00,0.18677842708374,0.26335758218808,762.85457842068,5060.1525261294,,3608,12.5,11.08,0,0,992.9
2023-03-09 23:00:00,0.18528980125864,0.26125861977469,774.167889578,5189.275038424,,3608,12.52,10.38,0,0,992.69
2023-03-10 00:00:00,0.18591071797405,0.2621341123434,796.82190271773,5275.0522540032,,3609,12.47,8.96,0,0,992.69
2023-03-10 01:00:00,0.18576110779112,0.26192316198548,770.79586488671,5100.2693086775,,3608,12.38,8.84,0,0,992.29
2023-03-10 02:00:00,0.18756832553283,0.2644713390013,742.17378030232,5097.6434704219,,3608,12.47,9.52,0,0,991.36
