#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2022-12-30 12:00:00,0.21907411408411,0.32861117112616,974.26225225139,5538.4258932876,,3607,12.11,12.38,0,0,981.92
2022-12-30 13:00:00,0.21480863631214,0.32221295446821,982.42176586394,5515.1628184192,,3610,12.15,12.18,0,0,981.89
2022-12-30 14:00:00,0.21556881129361,0.32335321694041,980.9877612262,5518.1235085523,,3609,11.86,12.22,0,0,981.91
2022-12-30 15:00:00,0.21716376155627,0.3257456423344,976.93712600761,5499.724768186,,3608,11.7,11.48,0,0,982.16
2022-12-30 16:00:00,0.21715971694816,0.32573957542224,980.99938468115,5505.4874769618,,3621,11.7,11.12,0,0,982.35
2022-12-30 17:00:00,0.21829835228101,0.32744752842151,981.76066617443,5503.3431789615,,3609,12.15,10.94,0,0,982.68
2022-12-30 18:00:00,0.21572103142481,0.32358154713722,979.05521882467,5494.3660044222,,3610,11.89,10.84,0,0,983.51
2022-12-30 19:00:00,0.21581355723972,0.32372033585958,985.17497466691,5491.6483528396,,3610,11.69,10.79,0,0,983.93
2022-12-30 20:00:00,0.21511095999697,0.32266643999545,988.55405877431,5490.7507688811,,3609,11.85,10.69,0,0,983.95
2022-12-30 21:00:00,0.21271161222333,0.31906741833499,991.35564258418,5492.0260630061,,3610,11.75,10.61,0,0,984.49
2022-12-30 22:00:00,0.21179949317968,0.31769923976952,987.86316717925,5480.6736814716,,3609,11.97,10.55,0,0,984.55
2022-12-30 23:00:00,0.21361131542126,0.3204169731319,979.94581818994,5462.2101952664,,3610,12.37,10.54,0,0,985.49
2022-12-31 00:00:00,0.21556333814823,0.32334500722234,979.96916140188,5470.5864860512,,3609,11.85,10.48,0,0,985.78
2022-12-31 01:00:00,0.21474930459948,0.32212395689922,971.49612853558,5482.3313187192,,3610,11.89,10.46,0,0,986.18
2022-12-31 02:00:00,0.21419862587471,0.32129793881207,971.39326184632,5463.3476963915,,3610,12.05,10.34,0,0,986.81
2022-12-31 03:00:00,0.21481909682312,0.32222864523468,973.48703835114,5479.0666810384,,3610,12,10.2,0,0,986.96
2022-12-31 04:00:00,0.21410969062856,0.32116453594284,971.40066983063,5474.7046875309,,3609,11.58,10.08,0,0,987.26
2022-12-31 05:00:00,0.21408555360979,0.32112833041469,969.58894499119,5470.6466270677,,3610,11.79,9.83,0,0,987.15
2022-12-31 06:00:00,0.21350540703028,0.32025811054543,973.23258086048,5476.1790245429,,3609,11.61,9.64,0,0,987.96
2022-12-31 07:00:00,0.21105741027399,0.31658611541099,971.4112873305,5472.1989725626,,3610,11.67,10.14,0,0,988.79
2022-12-31 08:00:00,0.21334178227606,0.32001267341409,964.84808691298,5480.2171273742,,3610,13.72,15.46,0,0,989.37
2022-12-31 09:00:00,0.21328916696272,0.31993375044408,961.67827400196,5476.1781431332,,3608,13.8,18.24,0,0,990.07
2022-12-31 10:00:00,0.211069775753,0.3166046636295,967.92830170703,5470.5974684977,,3608,14.06,19.35,0,0,990.57
2022-12-31 11:00:00,0.21250061768955,0.31875092653432,973.7988497653,5495.2406637515,,3609,14.13,20.75,0,0,990.31
2022-12-31 12:00:00,0.21228132884467,0.31842199326701,975.65822846253,5494.533697989,,3608,13.9,19.59,0,0,990.05
2022-12-31 13:00:00,0.21325057016874,0.31987585525311,983.74092126178,5498.5438889688,,3608,13.48,18.47,0,0,989.93
2022-12-31 14:00:00,0.21162446435251,0.31743669652877,986.07105846225,5508.9706621299,,3609,12.6,15.4,0,0,989.74
2022-12-31 15:00:00,0.21536431807551,0.32304647711327,982.606930653,5526.1718751707,,3609,12.57,14.04,0,0,990.09
2022-12-31 16:00:00,0.21668685993685,0.32503028990528,981.58554294698,5531.883228961,,3608,12.45,11.5,0,0,990.51
2022-12-31 17:00:00,0.21795616089105,0.32693424133657,981.16745845395,5540.3591972962,,3609,12.47,10.84,0,0,990.92
2022-12-31 18:00:00,0.21554855268121,0.32332282902182,982.84578699079,5526.3799094186,,3609,12.55,10.22,0,0,991.5
2022-12-31 19:00:00,0.21531366824348,0.32297050236522,986.11283593823,5534.493980316,,3608,12.38,9.83,0,0,991.62
2022-12-31 20:00:00,0.21903817328334,0.328557259925,988.48918377223,5548.8880581186,,3608,12.45,9.65,0,0,991.7
2022-12-31 21:00:00,0.2176787181427,0.32651807721404,997.47528961329,5563.4077861558,,3609,12.35,9.27,0,0,992.12
2022-12-31 22:00:00,0.21642448960008,0.32463673440012,994.91308952742,5574.3889180764,,3608,12.45,8.97,0,0,992.04
2022-12-31 23:00:00,0.21349337402046,0.32024006103068,996.47408346603,5557.6975839649,,3608,12.36,9.03,0,0,991.76
2023-01-01 00:00:00,0.21468905065983,0.32203357598974,995.64043104554,5578.5937855141,,3609,12.5,8.87,0,0,991.77
2023-01-01 01:00:00,0.21547593313472,0.32321389970208,989.4710977681,5595.1503320311,,3608,12.44,8.72,0,0,991.84
2023-01-01 02:00:00,0.21600041494293,0.32400062241439,988.5045575462,5599.4175959642,,3609,12.34,8.78,0,0,991.69
2023-01-01 03:00:00,0.21442073548597,0.32163110322895,998.19129122563,5593.9479219295,,3609,12.3,8.6,0,0,991.41
2023-01-01 04:00:00,0.21556612821076,0.32334919231614,999.872764911,5607.5083319352,,3609,12.45,8.55,0,0,991.03
2023-01-01 05:00:00,0.21555263486826,0.32332895230239,1003.0087467137,5614.0408487621,,3609,12.28,8.35,0,0,990.9
2023-01-01 06:00:00,0.21497949486211,0.32246924229316,1002.6397596829,5625.9927567237,,3609,12.28,8.41,0,0,990.84
2023-01-01 07:00:00,0.21555480605899,0.32333220908849,998.98225863274,5623.8410905634,,3609,12.64,9.9,0,0,991.06
2023-01-01 08:00:00,0.21628292749429,0.32442439124143,995.64752657437,5610.7085389191,,3610,14.19,14.26,0,0,991.47
2023-01-01 09:00:00,0.2170261034641,0.32553915519615,989.60111215148,5622.2863282599,,3608,14.19,14.91,0,0,991.72
2023-01-01 10:00:00,0.21862646961911,0.32793970442867,989.71505604403,5621.7701755411,,3609,13.75,16.12,0,0,991.82
2023-01-01 11:00:00,0.21731733623565,0.32597600435348,992.86988431915,5648.9964158885,,3608,14.12,18.95,0,0,991.27
2023-01-01 12:00:00,0.21500452423552,0.32250678635328,1000.9015953673,5630.2209256754,,3609,13.63,18.34,0,0,990.83
2023-01-01 13:00:00,0.2181881896623,0.32728228449345,1002.2645566427,5633.8517774626,,3608,14.06,18.52,0,0,990.3
2023-01-01 14:00:00,0.21836992426656,0.32755488639985,1002.6418864894,5628.8502993524,,3608,12.89,14.81,0,0,990.44
2023-01-01 15:00:00,0.21637428199034,0.32456142298552,996.37799629842,5634.3440690138,,3609,12.65,11.91,0,0,990.55
2023-01-01 16:00:00,0.21716325692496,0.32574488538744,996.71566318476,5642.4436221023,,3608,12.65,10.83,0,0,990.53
2023-01-01 17:00:00,0.21864083227847,0.3279612484177,993.56613249747,5653.1388109987,,3609,12.7,10.68,0,0,990.64
2023-01-01 18:00:00,0.22091191198239,0.33136786797359,994.41976972883,5680.2642330096,,3608,12.56,10.84,0,0,990.66
2023-01-01 19:00:00,0.22393191313039,0.33589786969559,991.21993996182,5684.4662595167,,3609,12.63,10.88,0,0,990.98
2023-01-01 20:00:00,0.22302247407227,0.33453371110841,995.22850693418,5691.792164681,,3608,12.61,10.81,0,0,991.09
2023-01-01 21:00:00,0.22624676798806,0.33937015198209,993.16159017595,5680.5755267109,,3609,12.5,10.64,0,0,991.24
2023-01-01 22:00:00,0.22548662408953,0.3382299361343,994.44536739707,5678.1361690836,,3608,12.57,10.49,0,0,991.11
2023-01-01 23:00:00,0.22537702358162,0.33806553537243,994.2546934273,5665.7087917522,,3609,12.5,10.34,0,0,991.17
2023-01-02 00:00:00,0.22246680522547,0.3337002078382,989.4435471151,5664.5838961179,,3609,12.57,10.22,0,0,991.02
2023-01-02 01:00:00,0.22251703495478,0.33377555243217,987.27835550116,5656.8439655744,,3609,12.53,9.9,0,0,990.43
2023-01-02 02:00:00,0.22194736209639,0.33292104314458,987.48511387108,5657.4079588869,,3608,12.56,9.41,0,0,990.25
2023-01-02 03:00:00,0.22373145450321,0.33559718175481,990.72954986345,5661.0558203422,,3609,12.5,9.23,0,0,989.92
2023-01-02 04:00:00,0.2235608790169,0.33534131852536,987.63151837475,5634.9950588138,,3608,12.46,9.29,0,0,990.02
2023-01-02 05:00:00,0.22346663436971,0.33519995155457,992.00451109795,5629.7988039545,,3608,12.51,9.02,0,0,989.84
2023-01-02 06:00:00,0.22443997667957,0.33665996501936,989.93303774991,5611.2145116919,,3609,12.53,8.52,0,0,989.92
2023-01-02 07:00:00,0.22268367055115,0.33402550582673,998.88051586433,5611.2281062651,,3608,12.45,9.57,0,0,989.97
2023-01-02 08:00:00,0.22066777904742,0.33100166857113,1001.7685160746,5623.7353402192,,3609,12.64,11.5,0,0,990.66
2023-01-02 09:00:00,0.21981581902317,0.32972372853475,1003.17902331,5620.5495726579,,3608,13.43,14.86,0,0,990.84
2023-01-02 10:00:00,0.21901012681957,0.32851519022935,1003.8258642091,5622.1609402963,,3610,13.39,15.73,0,0,990.87
2023-01-02 11:00:00,0.21805403770445,0.32708105655667,1003.1395633857,5616.0259055335,,3608,13.3,15.98,0,0,990.22
2023-01-02 12:00:00,0.2196696499962,0.3295044749943,1001.5029565728,5609.3162378696,,3609,13.32,16.26,0,0,989.63
2023-01-02 13:00:00,0.21796593240869,0.32694889861304,1002.6947634898,5589.0005846528,,3608,12.82,14.95,0,0,989.13
2023-01-02 14:00:00,0.21851537769402,0.32777306654102,1000.843057464,5586.532518132,,3608,12.64,12.75,0,0,988.79
2023-01-02 15:00:00,0.21656058749795,0.32484088124692,1002.3479554789,5585.1894375733,,3608,12.64,12.09,0,0,989.05
2023-01-02 16:00:00,0.21660995487644,0.32491493231467,1002.2253532222,5593.1611098932,,3609,12.46,11.24,0,0,989.01
2023-01-02 17:00:00,0.21277594904515,0.31916392356772,1003.5899940362,5578.9203119796,,3609,12.5,10.93,0,0,988.95
