#Datetime,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],neutrons,muons,gamma,integration_time(s),V_in(Volt),temperature_in(°C),temperature_ext(°C),ur(%),pressure(hPa)
2023-01-16 07:00:00,,,,,,3605,12.51,17.74,0,0,1000.61
2023-01-16 09:00:00,,,,,,3658,12.56,20.72,0,0,999.58
2023-01-16 10:00:00,,,,,,3609,12.46,21.6,0,0,999.33
2023-01-16 11:00:00,,,,,,3609,12.52,22.21,0,0,998.18
2023-01-16 12:00:00,,,,,,3607,12.58,22.52,0,0,996.91
2023-01-16 13:00:00,,,,,,3609,12.48,22.65,0,0,995.64
2023-01-16 14:00:00,,,,,,3608,12.47,22.84,0,0,994.69
2023-01-16 15:00:00,,,,,,3609,12.52,22.96,0,0,993.81
2023-01-16 16:00:00,,,,,,3607,12.54,22.33,0,0,993.29
2023-01-16 17:00:00,,,,,,3609,12.54,23.34,0,0,992.69
2023-01-16 18:00:00,,,,,,3609,12.53,21.71,0,0,992.12
2023-01-16 19:00:00,,,,,,3608,12.53,20.8,0,0,991.59
2023-01-16 20:00:00,,,,,,3609,12.48,20.25,0,0,991.69
2023-01-16 21:00:00,,,,,,3619,12.51,19.79,0,0,991.35
2023-01-16 22:00:00,,,,,,3608,12.57,19.44,0,0,990.61
2023-01-16 23:00:00,,,,,,3609,12.5,19.14,0,0,990.44
2023-01-17 00:00:00,,,,,,3608,12.54,18.89,0,0,991.03
2023-01-17 01:00:00,,,,,,3609,12.5,18.68,0,0,991.42
2023-01-17 02:00:00,,,,,,3608,12.48,18.49,0,0,991.31
2023-01-17 03:00:00,,,,,,3609,12.55,18.29,0,0,991.19
2023-01-17 04:00:00,,,,,,3609,12.53,18.08,0,0,991.1
2023-01-17 05:00:00,,,,,,3608,12.52,17.9,0,0,991.11
2023-01-17 06:00:00,,,,,,3608,12.57,17.77,0,0,990.99
2023-01-17 07:00:00,,,,,,3609,12.53,19.3,0,0,990.84
2023-01-17 08:00:00,,,,,,3609,12.53,20.34,0,0,991.01
2023-01-17 09:00:00,,,,,,3608,12.52,20.52,0,0,990.1
2023-01-17 10:00:00,,,,,,142.4,12.524,20.738,0,0,988.482
2023-01-17 11:00:00,,,,,,134.78260869565,12.528695652174,20.804782608696,0,0,987.90304347826
2023-01-17 12:00:00,,,,,,134.42307692308,12.532307692308,20.728076923077,0,0,986.61692307692
2023-01-17 13:00:00,,,,,,132.48148148148,12.533333333333,21.27962962963,0,0,985.3737037037
2023-01-17 14:00:00,,,,,,132.81481481481,12.525555555556,21.495185185185,0,0,984.80333333333
