datetime,uncorrectedNeutrons,incoming,TAVG,PREC,RHAVG,soil_moisture_gravimetric[g/g],soil_moisture_volumetric[m3/m3],pressureCorrectedNeutrons,PRESS(hPa),incoming_correction,press_correction,RH_correction,corrected_neutrons,movingAvg_neutrons,soil_moisture
2023-02-14 13:00:00,854.0,156.161,14.8,0.0,42.0,,,,1029.81,0.9607342491635879,1.1432053185977304,1,937.9622939060005,,
2023-02-14 14:00:00,886.0,155.64,15.3,0.0,39.2,,,,1029.03,0.9639502768159538,1.1364484446305563,1,970.5950964107748,,
2023-02-14 15:00:00,882.0,155.538,15.5,0.0,40.2,,,,1028.56,0.9645824241255193,1.1323962922390194,1,963.3993924833011,,
2023-02-14 16:00:00,856.0,155.636,14.1,0.0,44.5,,,,1028.4,0.9639750512968404,1.131020135220697,1,933.2755650942638,,
2023-02-14 17:00:00,863.0,156.242,10.1,0.0,53.5,,,,1028.74,0.9602361790276305,1.1339464704469437,1,939.6830956413148,,
2023-02-14 18:00:00,889.0,156.291,7.5,0.0,63.9,,,,1028.96,0.9599351279576882,1.1358440148505906,1,969.3092104949271,,
2023-02-14 19:00:00,839.0,155.568,5.4,0.0,72.8,,,,1029.1,0.9643964123960906,1.1370531960527144,1,920.0222492774902,,
2023-02-14 20:00:00,905.0,155.744,3.4,0.0,76.9,,,,1029.08,0.9633065869865615,1.1368803771014875,1,991.1237420692541,,
2023-02-14 21:00:00,891.0,154.711,2.8,0.0,78.9,,,,1029.08,0.9697385517748255,1.1368803771014875,1,982.306766814568,,
2023-02-14 22:00:00,813.0,154.455,2.1,0.0,86.2,,,,1029.12,0.9713458358980611,1.1372260412744182,1,898.0721408690617,,
2023-02-14 23:00:00,819.0,154.095,0.9,0.0,89.4,,,,1029.2,0.9736151145957691,1.1379176849458843,1,907.3650690706652,,
2023-02-15 00:00:00,856.0,153.665,0.7,0.0,89.4,,,,1029.02,0.9763395768954222,1.1363620778307444,1,949.7108313504966,,
2023-02-15 01:00:00,871.0,152.465,-0.5,0.0,91.1,0.047391662074044,0.063978743799959,981.78635260936,1028.63,0.9840240126168959,1.132998887342577,1,971.0762550410025,949.4290280934597,0.08714112603944187
2023-02-15 02:00:00,847.0,153.756,-1.2,0.0,89.8,0.047200032151768,0.063720043404887,980.19749827859,1028.15,0.9757617334194115,1.1288732371627912,1,932.9800767789212,946.6945058532755,0.0884230983594213
2023-02-15 03:00:00,850.0,153.806,-1.4,0.0,91.2,0.047647039783793,0.064323503708121,978.79040700224,1027.79,0.9754445280654528,1.1257888613361016,1,933.4228968652365,946.2151309517576,0.08864923253277351
2023-02-15 04:00:00,809.0,153.386,-1.2,0.0,90.9,0.049372785215553,0.066653260040997,974.49251283677,1027.63,0.9781154804456407,1.124420734070678,1,889.7489811616222,945.6067676436527,0.08893681906931784
2023-02-15 05:00:00,887.0,153.647,-1.0,0.0,90.1,0.048975585213494,0.066117040038216,975.82268752362,1027.56,0.9764539566905637,1.1238227013309645,1,973.3593163966352,945.142302195697,0.08915683892222227
2023-02-15 06:00:00,874.0,154.001,-1.7,0.0,89.0,0.049032139000249,0.066193387650336,976.18876036086,1027.68,0.974209395287271,1.1248480951430857,1,957.7620471569018,945.9431048569782,0.0887777413976219
2023-02-15 07:00:00,884.0,154.47,-0.2,0.0,88.7,0.048922708826708,0.066045656916056,977.13232419552,1028.08,0.9712515121618116,1.1282728363214036,1,968.7196413929014,944.4325452400304,0.08949382164506081
2023-02-15 08:00:00,879.0,154.701,3.0,0.0,79.4,0.049196903697882,0.06641581999214,977.87285475135,1028.08,0.9698012364731646,1.1282728363214036,1,961.8021443426082,946.423198052992,0.08855103009402092
2023-02-15 09:00:00,895.0,154.248,7.5,0.0,62.3,0.047869736782433,0.064624144656285,979.3986140362,1028.02,0.9726493768712401,1.1277584611944835,1,981.7376402651643,944.0935453037058,0.08965510222388566
2023-02-15 10:00:00,883.0,153.907,10.6,0.0,53.9,0.047570587738459,0.064220293446919,980.11684369653,1028.14,0.9748044019026751,1.12878744605687,1,971.6063755949557,943.1219947562141,0.090118501051022
2023-02-15 11:00:00,812.0,154.216,12.6,0.0,50.0,0.048174647165457,0.065035773673367,977.35130396358,1027.51,0.9728512027522114,1.1233957298341815,1,887.432272191936,945.0770649191559,0.08918777394091783
2023-02-15 12:00:00,915.0,154.316,14.2,0.0,46.8,0.048025746992493,0.064834758439865,979.45526966379,1026.78,0.9722207747973964,1.1171803876268465,1,993.8235735730309,949.3415969486522,0.08718190588187859
2023-02-15 13:00:00,810.0,154.866,15.6,0.0,42.0,0.048616052677589,0.065631671114746,976.21542719158,1026.13,0.9687679741430335,1.1116751257045985,1,872.3337601415773,948.3923030563398,0.08762556270872232
2023-02-15 14:00:00,897.0,155.643,16.5,0.0,40.8,0.048498026131491,0.065472335277513,975.59070607265,1025.84,0.9639316967909577,1.1092276917904418,1,959.0900987743449,950.3791366069381,0.08669885715348863
2023-02-15 15:00:00,890.0,155.973,16.6,0.0,38.7,0.048903384473313,0.066019569038973,974.97159704269,1025.73,0.9618922575294123,1.108300764949511,1,948.798673088785,946.1816727855554,0.08866503132978165
2023-02-15 16:00:00,869.0,156.507,15.5,0.0,43.3,0.049371182731466,0.066651096687479,974.70741456128,1025.57,0.9586102927257888,1.1069538902850913,1,922.1283943433235,948.1019444671479,0.08776158759345609
2023-02-15 17:00:00,901.0,156.237,12.0,0.0,52.0,0.048925413280512,0.066049307928692,975.57491562324,1025.73,0.9602669091421049,1.108300764949511,1,958.9023595120655,950.8751638086541,0.08646860058594123
2023-02-15 18:00:00,871.0,155.573,8.5,0.0,65.2,0.04891265904709,0.066032089713572,973.80045686007,1026.03,0.9643654174158436,1.1108305735795205,1,933.0557796881851,950.4802351850111,0.08665189145635911
2023-02-15 19:00:00,904.0,155.884,6.6,0.0,72.4,0.048281836161596,0.065180478818155,975.94978970682,1026.21,0.9624414377590712,1.112351229695812,1,967.7979167885634,951.2829504607671,0.086279633404188
2023-02-15 20:00:00,876.0,156.533,5.0,0.0,79.2,0.048995304161142,0.066143660617542,973.66215549798,1026.39,0.9584510683602502,1.1138739674932159,1,935.2120760863879,,
2023-02-15 21:00:00,894.0,155.907,3.4,0.0,86.9,0.049099820801283,0.066284758081732,972.95456738204,1026.49,0.9622994546982176,1.1147208334768213,1,958.9895536747662,,
2023-02-15 22:00:00,880.0,155.999,2.9,0.0,91.2,0.048938773374938,0.066067344056167,975.32071778936,1026.71,0.9617319411254882,1.1165862057270288,1,944.9938247796632,,
2023-02-15 23:00:00,934.0,154.853,0.9,0.0,85.7,0.047008969594049,0.063462108951967,979.96752214356,1026.62,0.9688493027815737,1.1158227219035446,1,1009.7138377785772,,
2023-02-16 00:00:00,858.0,154.981,0.9,0.0,91.0,0.047317115758851,0.063878106274448,979.29910670295,1026.64,0.9680491226901042,1.115992339847913,1,926.9277779350008,,
2023-02-16 01:00:00,937.0,154.252,-0.6,0.0,91.5,0.046406253626697,0.06264844239604,981.60778300902,1026.86,0.9726241545239934,1.1178598398350634,1,1018.7602602553632,,
2023-02-16 02:00:00,770.0,154.745,-0.8,0.0,91.4,0.04777810414258,0.064500440592483,977.46347502506,1026.5,0.9695254844010148,1.1148055554795606,1,832.2409450657328,,
2023-02-16 03:00:00,906.0,154.678,-1.0,0.0,94.5,0.047345225547072,0.063916054488547,979.55088522408,1026.48,0.9699454420385254,1.1146361179127093,1,979.5094172234596,,
2023-02-16 04:00:00,885.0,154.747,-2.3,0.0,93.8,0.04596978851777,0.06205921449899,982.72877691152,1026.47,0.9695129539418214,1.1145514087867356,1,956.3062453577692,,
2023-02-16 05:00:00,896.0,155.794,-3.0,0.0,93.9,0.045728621763488,0.061733639380709,982.77958138779,1026.77,0.9629974266251269,1.117095485143722,1,963.881029429205,,
2023-02-16 06:00:00,909.0,155.987,-2.7,0.0,99.0,0.045260425611751,0.061101574575864,984.13889956439,1026.82,0.9618059266710369,1.1175200620925876,1,977.0272137750422,,
2023-02-16 07:00:00,906.0,154.451,-1.9,0.0,94.2,,,,,0.9713709919886245,,1,,,
2023-02-16 08:00:00,,154.813,2.2,0.0,85.2,0.04512286518854,0.060915868004529,984.89095640504,1027.43,0.9690996304162767,1.1227129128278472,1,,,
2023-02-16 09:00:00,872.0,156.379,5.2,0.0,76.3,0.044518498804634,0.060099973386256,984.36248175139,1027.74,0.9593949384740601,1.1253611428404553,1,941.4685639937624,,
2023-02-16 10:00:00,840.0,155.621,7.4,0.0,72.9,0.046026204739433,0.062135376398235,981.65422445388,1028.04,0.9640679669429899,1.1279298935091107,1,913.4169066032233,,
2023-02-16 11:00:00,833.0,155.117,9.7,0.0,67.4,0.046811815124902,0.063195950418617,979.32007927339,1028.19,0.9672003783185276,1.129216466795149,1,909.78476870852,,
2023-02-16 12:00:00,844.0,154.384,11.3,0.0,62.9,0.046502794901664,0.062778773117247,980.83729923573,1028.16,0.9717925502878216,1.1289590347890839,1,925.9641987724083,,
2023-02-16 13:00:00,836.0,154.019,11.4,0.0,65.5,0.046861821176835,0.063263458588727,977.33865766802,1027.7,0.9740955407036471,1.1250190850484507,1,916.1523978240333,,
2023-02-16 14:00:00,881.0,154.929,11.9,0.0,65.1,0.045511766401352,0.061440884641825,980.90092382223,1027.1,0.9683740363885072,1.119900676860472,1,955.4292928877305,,
2023-02-16 15:00:00,903.0,154.631,11.7,0.0,68.2,0.046206676720647,0.062379013572873,981.46540724463,1026.6,0.970240256375727,1.1156531297391465,1,977.453775497916,,
2023-02-16 16:00:00,925.0,153.672,9.6,0.0,78.7,0.044859778924787,0.060560701548463,983.2978327081,1026.53,0.9762951031003373,1.115059760124438,1,1006.9803297131962,,
